property_id,property_type,location,price,square_footage,bedrooms,bathrooms,description,link
1,House,New York,1000000,2500,4,3,"Beautiful house located in a prime location in New York City, with spacious rooms and modern amenities.","https://example.com/property/1"
2,Apartment,San Francisco,800000,1200,2,2,"Cozy apartment in the heart of San Francisco, perfect for urban living with stunning city views.","https://example.com/property/2"
3,Condo,Los Angeles,1200000,1800,3,2,"Luxurious condo in Los Angeles offering panoramic views, high-end finishes, and exclusive amenities.","https://example.com/property/3"
4,Townhouse,Chicago,900000,2000,3,2,"Elegant townhouse in a historic neighborhood of Chicago, featuring a blend of classic architecture and modern comforts.","https://example.com/property/4"
5,Single Family Home,Miami,1500000,3000,5,4,"Spacious single-family home in Miami, ideal for families, with a large backyard and proximity to schools and parks.","https://example.com/property/5"
6,Loft,Austin,700000,1500,1,1,"Chic loft space in downtown Austin, designed for modern living with open layout and industrial aesthetics.","https://example.com/property/6"
7,Penthouse,Seattle,2000000,2800,3,3,"Luxury penthouse in Seattle offering breathtaking views of the city skyline and waterfront, complete with top-notch amenities.","https://example.com/property/7"
8,Ranch,Denver,1100000,2200,4,2,"Scenic ranch property in Denver with vast open spaces, perfect for those seeking a tranquil retreat close to urban conveniences.","https://example.com/property/8"
9,Duplex,Boston,950000,1600,3,2,"Historic duplex in Boston's charming neighborhood, featuring original architectural details and convenient access to city attractions.","https://example.com/property/9"
10,Villa,Honolulu,2500000,3500,4,5,"Exquisite villa in Honolulu, showcasing Hawaiian elegance with private beach access and lush tropical landscaping.","https://example.com/property/10"
11,Studio,Portland,500000,800,1,1,"Modern studio apartment in vibrant Portland, designed for urban professionals seeking convenience and style.","https://example.com/property/11"
12,Bungalow,San Diego,1300000,1800,3,2,"Quaint bungalow in San Diego's beachside community, offering a relaxed lifestyle with easy access to the ocean.","https://example.com/property/12"
13,Cottage,Charleston,700000,1400,2,1,"Charming cottage in historic Charleston, featuring period details and a cozy atmosphere, perfect for a peaceful retreat.","https://example.com/property/13"
14,Mansion,Atlanta,3500000,5000,6,7,"Grand mansion in Atlanta's affluent district, showcasing luxurious living spaces, expansive grounds, and impeccable craftsmanship.","https://example.com/property/14"
15,Triplex,Minneapolis,1200000,2400,4,3,"Three-unit residential property in Minneapolis, ideal for investors seeking rental income with potential for growth.","https://example.com/property/15"
16,Tudor Style Home,Philadelphia,900000,2800,4,3,"Traditional Tudor-style home in Philadelphia, combining old-world charm with modern amenities for comfortable living.","https://example.com/property/16"
17,Craftsman House,Portland,1100000,2200,3,2,"Craftsman-style house in Portland's desirable neighborhood, featuring artisan details and a welcoming atmosphere.","https://example.com/property/17"
18,Riverfront Retreat,Sacramento,1800000,3200,4,4,"Exclusive riverfront property in Sacramento, offering serenity and luxury with stunning water views and private dock.","https://example.com/property/18"
19,Farmhouse,Charlotte,1400000,2600,3,3,"Restored farmhouse in Charlotte's countryside, featuring rustic elegance and expansive land for farming or leisure activities.","https://example.com/property/19"
20,Modern Townhome,Houston,750000,1700,2,2,"Sleek and modern townhome in Houston's trendy district, designed with contemporary finishes and smart home technology.","https://example.com/property/20"
